job_id,job_title,salary_usd,experience_level,employment_type,company_size,industry,years_experience,benefits_score,remote_ratio,experience_level_name,employment_type_name,company_size_name
AI00022,Autonomous Systems Engineer,102550,MI,PT,M,Automotive,2,10.0,0,Mid-level,Part-Time,Medium
AI00041,Data Scientist,96956,MI,FT,M,Telecommunications,2,5.3,0,Mid-level,Full-Time,Medium
AI00042,AI Architect,196954,SE,FL,L,Finance,8,7.5,50,Senior,Freelance,Large
AI00046,AI Research Scientist,174663,SE,CT,M,Media,7,5.4,50,Senior,Contract,Medium
AI00053,Research Scientist,106579,MI,PT,S,Gaming,3,5.4,100,Mid-level,Part-Time,Small
AI00080,AI Research Scientist,284486,EX,CT,M,Consulting,12,7.0,0,Executive,Contract,Medium
AI00088,AI Specialist,69914,EN,FT,S,Transportation,0,7.0,100,Entry,Full-Time,Small
AI00094,AI Research Scientist,111528,MI,FL,L,Real Estate,3,9.5,0,Mid-level,Freelance,Large
AI00100,AI Research Scientist,195691,SE,CT,L,Transportation,8,8.7,0,Senior,Contract,Large
AI00111,Machine Learning Researcher,205357,EX,PT,S,Education,18,6.6,100,Executive,Part-Time,Small
AI00116,NLP Engineer,61055,EN,FL,M,Retail,0,6.9,100,Entry,Freelance,Medium
AI00150,AI Specialist,115841,SE,FL,S,Healthcare,7,7.2,0,Senior,Freelance,Small
AI00165,ML Ops Engineer,170139,SE,PT,L,Technology,5,9.6,50,Senior,Part-Time,Large
AI00188,AI Specialist,98422,EN,PT,L,Transportation,0,9.4,0,Entry,Part-Time,Large
AI00200,AI Product Manager,180252,SE,FT,L,Telecommunications,7,6.3,50,Senior,Full-Time,Large
AI00227,AI Product Manager,159643,SE,PT,S,Gaming,5,5.3,100,Senior,Part-Time,Small
AI00234,AI Research Scientist,173839,SE,FL,M,Government,5,5.1,100,Senior,Freelance,Medium
AI00241,Research Scientist,120749,MI,FL,M,Retail,2,6.5,50,Mid-level,Freelance,Medium
AI00248,Research Scientist,255678,EX,CT,M,Telecommunications,18,7.3,0,Executive,Contract,Medium
AI00250,AI Research Scientist,146085,SE,FT,M,Technology,6,6.4,100,Senior,Full-Time,Medium
AI00262,Principal Data Scientist,69807,EN,FT,L,Transportation,0,8.4,0,Entry,Full-Time,Large
AI00266,AI Consultant,81885,MI,PT,S,Retail,3,9.0,0,Mid-level,Part-Time,Small
AI00268,Robotics Engineer,133565,SE,PT,S,Media,5,8.0,100,Senior,Part-Time,Small
AI00270,ML Ops Engineer,76875,EN,PT,M,Transportation,0,8.3,0,Entry,Part-Time,Medium
AI00278,NLP Engineer,151610,SE,PT,L,Retail,5,5.3,100,Senior,Part-Time,Large
AI00327,AI Architect,238449,EX,PT,M,Gaming,15,5.3,50,Executive,Part-Time,Medium
AI00426,Autonomous Systems Engineer,101978,MI,FT,S,Media,3,8.9,0,Mid-level,Full-Time,Small
AI00436,AI Software Engineer,100678,MI,FT,S,Automotive,4,6.5,100,Mid-level,Full-Time,Small
AI00440,AI Software Engineer,94044,EN,PT,L,Healthcare,1,8.4,100,Entry,Part-Time,Large
AI00476,Autonomous Systems Engineer,171987,SE,FL,M,Education,6,5.4,100,Senior,Freelance,Medium
AI00483,AI Product Manager,170702,EX,FT,S,Retail,13,6.2,100,Executive,Full-Time,Small
AI00532,AI Software Engineer,103806,MI,CT,L,Finance,3,8.3,100,Mid-level,Contract,Large
AI00536,Data Scientist,65226,EN,FL,S,Consulting,0,8.2,100,Entry,Freelance,Small
AI00578,Computer Vision Engineer,160078,SE,FL,L,Technology,5,7.4,50,Senior,Freelance,Large
AI00584,Machine Learning Engineer,148848,SE,CT,S,Education,6,9.5,0,Senior,Contract,Small
AI00591,AI Product Manager,106583,EN,FT,L,Real Estate,1,8.1,100,Entry,Full-Time,Large
AI00605,AI Architect,146023,SE,FT,M,Finance,5,6.3,50,Senior,Full-Time,Medium
AI00614,Data Scientist,99041,EN,CT,L,Consulting,1,9.2,50,Entry,Contract,Large
AI00618,Machine Learning Researcher,109969,MI,CT,L,Media,4,5.6,100,Mid-level,Contract,Large
AI00628,Data Scientist,133372,MI,FL,L,Transportation,4,9.9,50,Mid-level,Freelance,Large
AI00662,AI Specialist,112606,MI,PT,M,Technology,2,9.7,50,Mid-level,Part-Time,Medium
AI00675,Machine Learning Engineer,231074,EX,FL,L,Retail,17,7.4,0,Executive,Freelance,Large
AI00696,Machine Learning Researcher,101302,EN,PT,L,Telecommunications,0,7.1,50,Entry,Part-Time,Large
AI00738,Data Scientist,94854,EN,PT,M,Education,1,6.1,0,Entry,Part-Time,Medium
AI00760,Data Engineer,166340,SE,FL,L,Retail,6,8.4,100,Senior,Freelance,Large
AI00761,Principal Data Scientist,140497,SE,FL,S,Technology,7,7.5,50,Senior,Freelance,Small
AI00776,Data Scientist,96225,MI,PT,M,Technology,4,9.9,50,Mid-level,Part-Time,Medium
AI00783,Data Engineer,268001,EX,FT,S,Real Estate,11,9.4,0,Executive,Full-Time,Small
AI00790,AI Research Scientist,86453,EN,PT,L,Energy,1,10.0,100,Entry,Part-Time,Large
AI00793,Data Analyst,139082,SE,FL,S,Technology,9,5.1,100,Senior,Freelance,Small
AI00814,Machine Learning Engineer,63794,EN,PT,S,Government,1,7.1,100,Entry,Part-Time,Small
AI00820,AI Consultant,61684,EN,FT,S,Consulting,1,8.6,0,Entry,Full-Time,Small
AI00837,AI Product Manager,123019,MI,CT,M,Healthcare,4,9.4,0,Mid-level,Contract,Medium
AI00843,Principal Data Scientist,272996,EX,CT,M,Energy,11,8.7,100,Executive,Contract,Medium
AI00858,AI Architect,73628,EN,FT,S,Energy,0,7.4,0,Entry,Full-Time,Small
AI00869,Principal Data Scientist,68262,EN,PT,S,Healthcare,1,6.9,0,Entry,Part-Time,Small
AI00888,ML Ops Engineer,79588,EN,FL,S,Technology,0,6.8,100,Entry,Freelance,Small
AI00900,Machine Learning Researcher,206257,EX,CT,S,Media,16,5.6,100,Executive,Contract,Small
AI00939,ML Ops Engineer,77274,EN,FT,S,Media,0,8.9,50,Entry,Full-Time,Small
AI00968,AI Architect,140234,SE,CT,L,Government,6,6.2,0,Senior,Contract,Large
AI00971,AI Research Scientist,206831,EX,PT,M,Government,10,5.3,100,Executive,Part-Time,Medium
AI01007,Principal Data Scientist,85303,MI,PT,S,Media,3,5.4,100,Mid-level,Part-Time,Small
AI01020,Data Analyst,108128,MI,FL,S,Government,2,9.2,50,Mid-level,Freelance,Small
AI01057,Data Engineer,127936,MI,FT,L,Education,2,5.4,0,Mid-level,Full-Time,Large
AI01059,ML Ops Engineer,264300,EX,FT,L,Technology,12,8.6,50,Executive,Full-Time,Large
AI01123,Machine Learning Engineer,118816,SE,CT,S,Healthcare,6,5.3,100,Senior,Contract,Small
AI01133,Data Scientist,89495,EN,FL,M,Retail,1,5.9,100,Entry,Freelance,Medium
AI01162,AI Architect,191681,SE,FT,L,Energy,7,9.1,50,Senior,Full-Time,Large
AI01169,AI Consultant,88462,MI,FL,S,Gaming,3,8.6,100,Mid-level,Freelance,Small
AI01176,Machine Learning Researcher,219210,EX,CT,M,Energy,11,7.4,100,Executive,Contract,Medium
AI01255,Data Analyst,62143,EN,CT,M,Education,1,5.7,50,Entry,Contract,Medium
AI01282,Machine Learning Engineer,142753,MI,CT,L,Education,2,10.0,100,Mid-level,Contract,Large
AI01289,Autonomous Systems Engineer,197981,EX,FT,M,Finance,16,8.4,50,Executive,Full-Time,Medium
AI01299,Data Analyst,159770,SE,FL,S,Transportation,6,8.3,0,Senior,Freelance,Small
AI01320,AI Architect,190447,SE,PT,L,Energy,7,8.6,0,Senior,Part-Time,Large
AI01363,AI Product Manager,78244,EN,FL,S,Healthcare,1,9.4,50,Entry,Freelance,Small
AI01375,Data Analyst,103040,EN,CT,L,Consulting,1,9.6,0,Entry,Contract,Large
AI01407,Machine Learning Researcher,275914,EX,PT,M,Education,11,6.7,0,Executive,Part-Time,Medium
AI01448,Computer Vision Engineer,109585,MI,CT,S,Automotive,3,5.2,0,Mid-level,Contract,Small
AI01450,AI Research Scientist,206448,EX,CT,S,Retail,11,6.1,100,Executive,Contract,Small
AI01454,AI Architect,197656,EX,PT,M,Automotive,13,6.8,0,Executive,Part-Time,Medium
AI01475,AI Product Manager,75610,EN,PT,M,Healthcare,1,8.9,100,Entry,Part-Time,Medium
AI01514,Head of AI,236415,EX,FT,S,Government,17,5.4,50,Executive,Full-Time,Small
AI01523,AI Product Manager,179544,EX,CT,S,Retail,17,6.1,100,Executive,Contract,Small
AI01528,AI Research Scientist,94082,EN,PT,L,Healthcare,1,7.9,0,Entry,Part-Time,Large
AI01575,Head of AI,139187,SE,FL,M,Consulting,9,8.0,0,Senior,Freelance,Medium
AI01613,AI Consultant,74385,EN,CT,S,Transportation,1,6.4,0,Entry,Contract,Small
AI01637,AI Product Manager,78059,EN,FL,S,Manufacturing,0,9.8,100,Entry,Freelance,Small
AI01675,Head of AI,187375,EX,CT,L,Real Estate,11,6.1,50,Executive,Contract,Large
AI01680,Data Scientist,116016,SE,PT,S,Retail,7,6.3,100,Senior,Part-Time,Small
AI01681,Principal Data Scientist,96466,MI,CT,S,Government,2,6.2,0,Mid-level,Contract,Small
AI01698,AI Architect,240150,EX,FL,M,Gaming,11,7.2,50,Executive,Freelance,Medium
AI01715,Data Engineer,110941,MI,CT,L,Telecommunications,4,5.9,0,Mid-level,Contract,Large
AI01728,Research Scientist,223202,EX,CT,L,Consulting,10,8.5,0,Executive,Contract,Large
AI01744,AI Consultant,119598,MI,PT,M,Technology,4,7.7,100,Mid-level,Part-Time,Medium
AI01755,AI Specialist,209331,EX,FT,L,Telecommunications,18,7.0,0,Executive,Full-Time,Large
AI01785,NLP Engineer,109340,MI,FT,M,Energy,2,7.2,0,Mid-level,Full-Time,Medium
AI01787,Machine Learning Engineer,125758,MI,CT,L,Retail,4,9.9,100,Mid-level,Contract,Large
AI01806,Machine Learning Researcher,284282,EX,FT,L,Consulting,13,7.1,0,Executive,Full-Time,Large
AI01905,Principal Data Scientist,108843,EN,FL,L,Education,1,6.2,0,Entry,Freelance,Large
AI01971,Data Analyst,81594,EN,CT,L,Transportation,1,8.5,0,Entry,Contract,Large
AI02014,Machine Learning Engineer,145626,SE,CT,M,Healthcare,9,9.5,50,Senior,Contract,Medium
AI02020,AI Specialist,198340,EX,PT,L,Transportation,13,8.8,100,Executive,Part-Time,Large
AI02028,Computer Vision Engineer,295058,EX,CT,L,Manufacturing,18,5.6,0,Executive,Contract,Large
AI02029,Autonomous Systems Engineer,128911,MI,CT,M,Energy,4,8.3,50,Mid-level,Contract,Medium
AI02033,Data Analyst,85852,EN,FT,L,Technology,0,8.7,50,Entry,Full-Time,Large
AI02048,Data Engineer,87139,EN,CT,M,Retail,1,6.7,100,Entry,Contract,Medium
AI02097,Deep Learning Engineer,175364,EX,CT,S,Finance,11,6.1,0,Executive,Contract,Small
AI02102,AI Consultant,266051,EX,FL,M,Energy,16,7.6,100,Executive,Freelance,Medium
AI02106,Machine Learning Researcher,97999,MI,FL,M,Manufacturing,2,6.5,50,Mid-level,Freelance,Medium
AI02127,Data Engineer,71084,EN,FT,S,Gaming,1,9.8,100,Entry,Full-Time,Small
AI02150,AI Product Manager,144181,SE,PT,L,Transportation,8,7.6,100,Senior,Part-Time,Large
AI02165,Head of AI,237312,EX,FL,L,Gaming,12,7.4,0,Executive,Freelance,Large
AI02178,Autonomous Systems Engineer,75835,EN,FL,L,Consulting,1,9.3,0,Entry,Freelance,Large
AI02228,Research Scientist,76846,EN,FT,S,Retail,0,8.3,100,Entry,Full-Time,Small
AI02230,Deep Learning Engineer,113366,MI,FL,L,Retail,2,5.2,50,Mid-level,Freelance,Large
AI02232,Head of AI,79228,EN,FT,S,Real Estate,0,8.1,50,Entry,Full-Time,Small
AI02240,ML Ops Engineer,127193,MI,CT,M,Real Estate,4,7.9,50,Mid-level,Contract,Medium
AI02245,Research Scientist,113629,MI,FT,S,Education,4,5.7,100,Mid-level,Full-Time,Small
AI02255,Computer Vision Engineer,188500,EX,FT,M,Gaming,12,9.5,50,Executive,Full-Time,Medium
AI02297,AI Specialist,109004,MI,FT,L,Manufacturing,3,8.6,0,Mid-level,Full-Time,Large
AI02325,Data Scientist,108968,MI,PT,S,Energy,2,5.7,50,Mid-level,Part-Time,Small
AI02326,AI Product Manager,76903,EN,PT,M,Technology,0,8.0,0,Entry,Part-Time,Medium
AI02332,Data Analyst,211934,EX,CT,S,Energy,12,8.8,50,Executive,Contract,Small
AI02472,Machine Learning Engineer,146531,SE,FT,S,Automotive,6,8.0,0,Senior,Full-Time,Small
AI02535,Machine Learning Researcher,107206,MI,PT,L,Technology,2,8.1,0,Mid-level,Part-Time,Large
AI02545,Data Scientist,91286,MI,FT,M,Gaming,2,8.8,50,Mid-level,Full-Time,Medium
AI02548,Robotics Engineer,263846,EX,FT,S,Finance,11,9.3,0,Executive,Full-Time,Small
AI02561,Head of AI,342272,EX,PT,L,Real Estate,18,5.7,50,Executive,Part-Time,Large
AI02573,Robotics Engineer,170717,SE,CT,M,Healthcare,6,8.0,50,Senior,Contract,Medium
AI02584,AI Specialist,100150,MI,FT,S,Energy,4,8.4,0,Mid-level,Full-Time,Small
AI02606,Data Engineer,119490,MI,CT,L,Consulting,3,10.0,0,Mid-level,Contract,Large
AI02639,AI Research Scientist,277303,EX,FT,L,Consulting,13,7.6,100,Executive,Full-Time,Large
AI02651,Machine Learning Engineer,57234,EN,FT,S,Education,1,7.1,0,Entry,Full-Time,Small
AI02664,Machine Learning Researcher,125276,MI,CT,M,Transportation,2,9.3,100,Mid-level,Contract,Medium
AI02682,Deep Learning Engineer,178443,SE,FL,L,Technology,7,7.8,50,Senior,Freelance,Large
AI02686,AI Software Engineer,161108,EX,CT,S,Education,10,5.7,0,Executive,Contract,Small
AI02747,Machine Learning Engineer,80627,EN,FL,L,Consulting,1,10.0,50,Entry,Freelance,Large
AI02752,Machine Learning Engineer,183861,EX,CT,M,Finance,13,8.1,100,Executive,Contract,Medium
AI02776,AI Architect,112977,MI,FL,L,Healthcare,4,7.2,50,Mid-level,Freelance,Large
AI02778,Autonomous Systems Engineer,138192,SE,FL,M,Technology,7,9.4,100,Senior,Freelance,Medium
AI02823,AI Research Scientist,100577,MI,CT,L,Technology,2,7.8,100,Mid-level,Contract,Large
AI02845,AI Specialist,107517,EN,FL,L,Energy,1,8.9,50,Entry,Freelance,Large
AI02859,Data Scientist,77185,MI,CT,S,Energy,3,6.6,50,Mid-level,Contract,Small
AI02860,Data Analyst,85957,MI,PT,M,Media,2,8.9,100,Mid-level,Part-Time,Medium
AI02869,Principal Data Scientist,221496,EX,FT,L,Gaming,11,6.5,100,Executive,Full-Time,Large
AI02883,Principal Data Scientist,76845,EN,CT,M,Manufacturing,0,7.6,50,Entry,Contract,Medium
AI02924,AI Architect,120290,SE,FT,M,Media,9,5.7,50,Senior,Full-Time,Medium
AI02951,Robotics Engineer,89266,EN,PT,M,Education,0,8.1,50,Entry,Part-Time,Medium
AI02970,Autonomous Systems Engineer,224547,EX,FT,L,Energy,12,5.6,50,Executive,Full-Time,Large
AI03030,AI Research Scientist,95467,MI,CT,S,Technology,3,8.2,0,Mid-level,Contract,Small
AI03037,Robotics Engineer,144719,SE,FL,L,Manufacturing,9,9.0,100,Senior,Freelance,Large
AI03042,AI Architect,235813,EX,FL,M,Energy,10,8.2,0,Executive,Freelance,Medium
AI03060,AI Software Engineer,185661,EX,FT,S,Transportation,19,7.4,100,Executive,Full-Time,Small
AI03063,Research Scientist,71629,EN,FL,S,Manufacturing,0,8.5,100,Entry,Freelance,Small
AI03093,Deep Learning Engineer,249665,EX,FT,L,Education,15,9.4,100,Executive,Full-Time,Large
AI03151,AI Consultant,287746,EX,PT,L,Retail,14,7.3,100,Executive,Part-Time,Large
AI03185,Computer Vision Engineer,245881,EX,PT,M,Technology,16,8.7,100,Executive,Part-Time,Medium
AI03221,AI Research Scientist,199358,SE,FT,L,Finance,9,5.4,0,Senior,Full-Time,Large
AI03230,Data Scientist,76094,EN,FL,S,Technology,1,5.4,50,Entry,Freelance,Small
AI03235,AI Software Engineer,161339,SE,FL,S,Retail,9,6.3,50,Senior,Freelance,Small
AI03269,AI Specialist,271945,EX,FL,M,Manufacturing,16,8.4,0,Executive,Freelance,Medium
AI03303,Research Scientist,71217,EN,FL,S,Transportation,1,5.1,0,Entry,Freelance,Small
AI03305,Deep Learning Engineer,338443,EX,FL,L,Finance,11,5.6,0,Executive,Freelance,Large
AI03313,AI Specialist,268894,EX,CT,L,Transportation,10,6.7,0,Executive,Contract,Large
AI03333,NLP Engineer,69650,EN,PT,L,Manufacturing,1,8.4,100,Entry,Part-Time,Large
AI03371,Robotics Engineer,334881,EX,FL,L,Government,13,9.7,0,Executive,Freelance,Large
AI03429,AI Software Engineer,157167,SE,FL,M,Energy,5,8.9,100,Senior,Freelance,Medium
AI03464,Data Engineer,62906,EN,PT,S,Media,1,9.4,100,Entry,Part-Time,Small
AI03474,Machine Learning Researcher,79342,MI,PT,S,Government,4,7.7,0,Mid-level,Part-Time,Small
AI03494,AI Software Engineer,62296,EN,CT,S,Automotive,1,9.2,0,Entry,Contract,Small
AI03526,Head of AI,130032,MI,CT,L,Media,4,9.6,100,Mid-level,Contract,Large
AI03535,NLP Engineer,139424,SE,CT,S,Finance,7,6.5,0,Senior,Contract,Small
AI03542,Autonomous Systems Engineer,132731,SE,CT,S,Technology,7,6.6,50,Senior,Contract,Small
AI03556,Research Scientist,177501,SE,CT,M,Education,7,6.2,0,Senior,Contract,Medium
AI03582,Research Scientist,333499,EX,FL,L,Retail,19,8.8,50,Executive,Freelance,Large
AI03594,AI Product Manager,303956,EX,FT,L,Government,10,7.8,100,Executive,Full-Time,Large
AI03619,Deep Learning Engineer,218946,EX,FL,L,Real Estate,15,5.6,50,Executive,Freelance,Large
AI03621,AI Research Scientist,117350,SE,FL,S,Energy,9,8.0,100,Senior,Freelance,Small
AI03636,NLP Engineer,63660,EN,FL,S,Manufacturing,1,9.4,50,Entry,Freelance,Small
AI03644,Principal Data Scientist,79396,MI,CT,S,Telecommunications,3,5.5,0,Mid-level,Contract,Small
AI03656,Data Scientist,70305,EN,FL,M,Healthcare,0,5.5,50,Entry,Freelance,Medium
AI03702,Robotics Engineer,85084,MI,FL,S,Automotive,3,6.9,0,Mid-level,Freelance,Small
AI03714,AI Specialist,164169,SE,FT,L,Government,5,6.5,0,Senior,Full-Time,Large
AI03733,Robotics Engineer,250761,EX,FL,M,Technology,13,7.9,100,Executive,Freelance,Medium
AI03753,AI Software Engineer,99064,MI,FT,L,Energy,3,6.0,0,Mid-level,Full-Time,Large
AI03844,NLP Engineer,188338,EX,FT,S,Consulting,15,9.3,100,Executive,Full-Time,Small
AI03846,Data Scientist,235929,EX,FT,S,Automotive,19,6.0,50,Executive,Full-Time,Small
AI03855,Autonomous Systems Engineer,156765,SE,FT,M,Consulting,6,5.9,50,Senior,Full-Time,Medium
AI03886,Robotics Engineer,337306,EX,FT,L,Telecommunications,19,7.9,0,Executive,Full-Time,Large
AI03934,Data Analyst,166199,EX,CT,M,Retail,15,8.9,0,Executive,Contract,Medium
AI03940,Data Engineer,111135,MI,FT,S,Gaming,3,5.9,100,Mid-level,Full-Time,Small
AI03947,Data Scientist,165564,SE,FT,M,Transportation,7,6.6,50,Senior,Full-Time,Medium
AI03964,AI Architect,119240,MI,FT,L,Media,4,8.9,0,Mid-level,Full-Time,Large
AI03995,AI Research Scientist,170703,SE,CT,L,Retail,5,6.4,0,Senior,Contract,Large
AI04026,Autonomous Systems Engineer,108449,MI,FL,M,Consulting,2,6.4,50,Mid-level,Freelance,Medium
AI04083,AI Software Engineer,148050,SE,PT,L,Education,7,5.6,50,Senior,Part-Time,Large
AI04103,Data Scientist,175537,SE,CT,L,Telecommunications,5,8.8,100,Senior,Contract,Large
AI04126,Research Scientist,149341,SE,FT,M,Consulting,8,8.4,0,Senior,Full-Time,Medium
AI04147,Robotics Engineer,124928,SE,FT,M,Media,9,6.5,50,Senior,Full-Time,Medium
AI04179,Data Engineer,110554,MI,CT,S,Consulting,3,5.1,100,Mid-level,Contract,Small
AI04245,Principal Data Scientist,169855,SE,FT,M,Technology,7,8.4,100,Senior,Full-Time,Medium
AI04262,AI Architect,160162,EX,FT,M,Telecommunications,14,5.9,0,Executive,Full-Time,Medium
AI04273,AI Product Manager,183624,SE,PT,L,Government,7,8.0,100,Senior,Part-Time,Large
AI04305,Data Analyst,336904,EX,CT,L,Automotive,16,8.3,0,Executive,Contract,Large
AI04311,AI Research Scientist,79685,EN,PT,S,Automotive,0,9.4,0,Entry,Part-Time,Small
AI04314,ML Ops Engineer,213820,EX,FT,M,Transportation,10,5.7,0,Executive,Full-Time,Medium
AI04333,AI Architect,243179,EX,CT,S,Gaming,17,6.7,50,Executive,Contract,Small
AI04349,Principal Data Scientist,128234,MI,PT,L,Finance,4,8.6,0,Mid-level,Part-Time,Large
AI04373,Autonomous Systems Engineer,141172,SE,PT,S,Gaming,8,9.0,0,Senior,Part-Time,Small
AI04408,Robotics Engineer,115416,MI,PT,S,Government,4,7.8,50,Mid-level,Part-Time,Small
AI04451,Head of AI,92711,EN,CT,L,Education,1,9.8,100,Entry,Contract,Large
AI04454,AI Specialist,143776,SE,FT,M,Real Estate,7,5.7,50,Senior,Full-Time,Medium
AI04460,Deep Learning Engineer,133950,SE,CT,S,Consulting,9,8.0,100,Senior,Contract,Small
AI04480,Robotics Engineer,96034,EN,FL,L,Technology,1,7.4,0,Entry,Freelance,Large
AI04492,AI Product Manager,239601,EX,FT,S,Real Estate,13,9.0,50,Executive,Full-Time,Small
AI04511,NLP Engineer,196418,EX,FT,M,Manufacturing,15,9.9,100,Executive,Full-Time,Medium
AI04535,AI Specialist,198536,EX,CT,M,Education,14,8.9,0,Executive,Contract,Medium
AI04543,AI Product Manager,195397,SE,FT,L,Consulting,7,6.7,50,Senior,Full-Time,Large
AI04546,Computer Vision Engineer,152500,SE,FL,M,Education,6,7.0,0,Senior,Freelance,Medium
AI04596,Deep Learning Engineer,204974,EX,CT,S,Media,14,8.3,0,Executive,Contract,Small
AI04668,AI Architect,121527,SE,CT,S,Manufacturing,8,6.2,100,Senior,Contract,Small
AI04708,Machine Learning Researcher,265991,EX,CT,S,Education,17,5.4,0,Executive,Contract,Small
AI04767,AI Product Manager,124367,SE,PT,M,Telecommunications,8,5.6,0,Senior,Part-Time,Medium
AI04786,ML Ops Engineer,262069,EX,CT,S,Education,16,9.0,0,Executive,Contract,Small
AI04801,AI Specialist,106139,MI,FT,M,Government,2,9.7,50,Mid-level,Full-Time,Medium
AI04808,Autonomous Systems Engineer,119986,MI,FT,M,Manufacturing,4,5.0,100,Mid-level,Full-Time,Medium
AI04834,Data Analyst,122001,SE,CT,M,Transportation,6,8.6,100,Senior,Contract,Medium
AI04893,Data Analyst,107436,MI,FL,L,Transportation,4,8.5,0,Mid-level,Freelance,Large
AI04920,Data Engineer,122517,MI,PT,L,Automotive,4,9.3,0,Mid-level,Part-Time,Large
AI04923,Deep Learning Engineer,129699,MI,PT,L,Finance,2,7.1,0,Mid-level,Part-Time,Large
AI04926,AI Software Engineer,123935,MI,FT,L,Government,2,5.6,50,Mid-level,Full-Time,Large
AI04931,AI Architect,121458,SE,CT,S,Government,8,8.9,0,Senior,Contract,Small
AI04945,AI Specialist,120914,MI,FL,M,Automotive,4,7.8,0,Mid-level,Freelance,Medium
AI04984,Research Scientist,139402,SE,PT,M,Retail,6,5.1,0,Senior,Part-Time,Medium
AI04996,AI Specialist,110450,MI,FL,M,Consulting,3,6.5,0,Mid-level,Freelance,Medium
AI05007,Principal Data Scientist,172202,SE,FL,M,Energy,8,6.7,100,Senior,Freelance,Medium
AI05015,NLP Engineer,126229,MI,CT,L,Healthcare,3,9.4,100,Mid-level,Contract,Large
AI05023,AI Architect,104098,MI,FL,L,Consulting,3,7.1,0,Mid-level,Freelance,Large
